9.09,9.08,9.05,9.04,9.05
9.04,9.11,9.19,9.13,9.09
9.17,9.07,9.08,9.08,9.20
9.01,9.02,9.01,9.00,9.12
9.12,9.16,9.18,9.08,9.06
9.11,9.05,9.13,9.03,9.18
9.24,9.03,9.18,9.19,9.17
9.21,9.10,9.08,9.15,9.14
9.28,9.15,9.26,9.08,9.12
9.14,9.19,9.26,9.24,9.09
9.17,9.07,9.14,9.06,9.17
9.05,9.06,9.07,9.07,9.18
9.18,9.16,9.20,9.07,9.02
9.08,9.17,9.12,9.13,9.09
9.22,9.09,9.16,9.17,9.08
9.10,9.23,9.14,9.17,9.05
9.16,9.04,9.11,9.06,9.17
9.16,9.12,9.20,9.05,9.06
9.33,9.19,9.05,9.06,9.13
9.15,9.18,9.14,9.04,9.09
9.06,9.15,9.18,9.14,9.15
9.12,9.05,9.09,9.15,9.01
9.17,9.12,9.11,9.21,9.02
9.20,9.16,9.11,9.16,9.08
9.08,9.04,9.14,9.11,9.11
